bgg_id,name,year,type
22552,Bugs! Bugs! Bugs!,,boardgame
13745,Bul,,boardgame
8093,Bull's-Eye Ball,,boardgame
3268,Bunker Poker,,boardgame
59149,Bunny Bunny Moose Moose,,boardgame
361335,Bunny Hops!,,boardgame
184921,Bunny Kingdom,2017,boardgame
28089,Burg Appenzell,2007,boardgame
40962,Burg der 1000 Spiegel,2009,boardgame
,Burma,,boardgame
3341,Burn Rate,,boardgame
,Burning Banners,2024,boardgame
,Burning Banners: Rage of the Witch Queen,2024,boardgame
37937,Burosh,,boardgame
38707,Bushido (game),,boardgame
,business chess,,boardgame
,Butterfly Garden,2025,boardgame
17,Button Men,,boardgame
8920,BuyWord,,boardgame
114115,By the Sword!,,boardgame
38032,Byzanz,,boardgame
30324,Ca$h 'n Gun$: Live,,boardgame
,Ca$h 'n Guns (Second Edition),2014,boardgame
171499,Cacao,2015,boardgame
1430,Caesar,,boardgame
132,Caesar & Cleopatra,,boardgame
1722,Caesar's Legions,,boardgame
,Café Baras,2024,boardgame
214,Café International,,boardgame
1542,Calamity,,boardgame
283155,Calico,2020,boardgame
,Call My Bluff,1993,boardgame
,"Cambrai, 1917: The First Blitzkrieg",,boardgame
,Camel Up,2014,boardgame
5251,Camelot,,boardgame
117871,Camette,2002,boardgame
12409,Camp Granada,,boardgame
46255,Campaign Manager 2008,,boardgame
,Campaign Trail,2019,boardgame
3590,Campaign Trail: The Game of Presidential Elections,,boardgame
41,Can't Stop,,boardgame
217547,Can't Stop Express,,boardgame
5454,Canadian Checkers,,boardgame
,Canadian Monopoly,,boardgame
4401,Canal Grande,,boardgame
12004,Candamir: The First Settlers,,boardgame
5048,Candy Land,1949,boardgame
20731,Capes & Cowls,,boardgame
1155,Capitol,,boardgame
393325,Captain Flip,2024,boardgame
219509,Captain Silver,,boardgame
171131,Captain Sonar,2016,boardgame
2795,Car Wars,,boardgame
,Cara a Cara,,boardgame
150,Carabande,,boardgame
963,Carat,,boardgame
,Carcassonne,2000,boardgame
7717,Carcassonne: The Castle,,boardgame
12902,Carcassonne: The City,,boardgame
45748,Carcassonne: Wheel of Fortune,,boardgame
22924,Card football,,boardgame
,Card Football Premiere Edition,,boardgame
2116,Cardino,,boardgame
130882,Cardline: Animals,,boardgame
1475,Careers,,boardgame
13301,Caribbean,,boardgame
351937,Carla Caramel,,boardgame
310873,Carnegie,2022,boardgame
457386,Carnuta,2026,boardgame
481,Carolus Magnus,,boardgame
245934,Carpe Diem,2018,boardgame
1679,Carrier,,boardgame
39938,Carson City,,boardgame
826,Cartagena,2000,boardgame
327076,Cartaventura: Lhasa,2021,boardgame
263918,Cartographers: A Roll Player Tale,2019,boardgame
295947,Cascadia,2022,boardgame
,Cash 'n Guns,2014,boardgame
19237,Cash'n Guns,,boardgame
98189,Casse-toi pov' con,2011,boardgame
655,Castle,2000,boardgame
,Castle Combo,2024,boardgame
191065,Castle Flutterstone,,boardgame
29411,Castle Knights,,boardgame
1738,Castle of Magic,,boardgame
43443,Castle Panic,,boardgame
2557,Castle Risk,,boardgame
155426,Castles of Mad King Ludwig,,boardgame
345972,Cat in the Box,,boardgame
,Cat in the Box: Deluxe Edition,2022,boardgame
57390,Catacombs,,boardgame
152959,Catan - Anniversary Edition,,boardgame
17419,Catan 3D Collector's Edition,,boardgame
27710,Catan Dice Game,2007,boardgame
38749,Catan Geographies: Germany,,boardgame
32270,Catan Geographies: Settlers of Hesse,,boardgame
,Catan Historical Scenarios I: Alexander and Cheops,,boardgame
103091,Catan Histories: Merchants of Europe,,boardgame
244144,Catan Histories: Rise of the Inka,2018,boardgame
,Catan Histories: Settlers of America – Trails to Rails,2010,boardgame
,Catan Junior,2007,boardgame
140743,Catan Junior Madagascar,2012,boardgame
259397,Catan Scenario: Crop Trust,2018,boardgame
131958,Catan Scenarios: Frenemies,,boardgame
161527,Catan: Ancient Egypt,,boardgame
20038,Catan: Event Cards,,boardgame
125921,Catan: Junior,2012,boardgame
3972,Catan: Portable Edition,,boardgame
310789,Catapult Feud,2021,boardgame
,Catch the Moon,2017,boardgame
13094,Category Game,1994,boardgame
7,Cathedral,1979,boardgame
9973,"Cauldron: Battle of Gazala, May 1942",1976,boardgame
25990,Cavaliers and Roundheads,,boardgame
102794,Caverna: The Cave Farmers,2013,boardgame
37734,Cavum,2008,boardgame
18602,Caylus,2005,boardgame
175117,Celestia,,boardgame
21293,Celtica,,boardgame
13921,Cemetery Hill,,boardgame
2080,Central America,,boardgame
,Century: Spice Road,2017,boardgame
3245,Cerberus,2018,boardgame
,Chaco,,boardgame
1827,Chainsaw Warrior,,boardgame
7654,Challenge The Yankees,,boardgame
,Challengers,2023,boardgame
,Challengers!,2022,boardgame
3104,Chameleon,1990,boardgame
,Chamelequin,,boardgame
,Champions of Midgard,2015,boardgame
13614,Chancellorsville,1961,boardgame
26458,Chandragupta,,boardgame
29903,Chang Cheng,2007,boardgame
43111,Chaos in the Old World,,boardgame
36799,Chapayev,,boardgame
,"Chariot: Tactical Warfare in the Biblical Age, 3000-500 B.C.",,boardgame
316,Chase,,boardgame
18011,chaturanga,,boardgame
2083,checkers,,boardgame
,Checkers Plus,,boardgame
